ingredient_id,pubchem_id
167,7772
167,454
167,22201
167,6202
167,31289
167,342
167,16237
167,6874
167,31272
167,4133
167,9256
167,12367
167,3893
167,135
167,379
167,735940
167,8365
167,1130
167,61712
167,31260
167,445639
167,5318599
167,61450
167,7342
167,527
167,31251
167,569214
167,8908
167,2969
167,7362
167,14505
167,8163
167,31226
167,62900
167,61586
167,12170
167,11622
167,31249
167,1031
167,7344
167,62092
167,12266
167,798
167,31253
167,18686
167,6654
167,7711
167,10882
167,10885
167,31276
167,8194
167,332
167,14514
167,31225
167,7755
167,229377
167,5282108
167,7144
167,7749
167,126
167,263
167,12777
167,31242
167,7710
167,8314
167,11508
167,7095
167,60979
167,637758
167,6549
167,8158
167,1032
167,5284421
167,31234
1527,7795
1527,22873
1527,20083
1527,16617
1527,12209
1527,16220110
1527,222656
1527,7501
1527,10448
1527,6985
1527,7799
1527,6560
1527,8468
1527,12613
1527,985
1527,62572
1527,6590
1527,11527
1527,6584
1527,13187
1527,12041
1527,72
1527,753
1527,12587
1527,72277
1527,102550
1527,5280863
1527,7997
1527,8093
1527,8103
1527,602
1527,3314
1527,8129
1527,7590
1527,10430
1527,7945
1527,644104
1527,8914
1527,10976
1527,17100
1527,31265
1527,5366038
1527,5280804
1527,61592
1527,8294
1527,8635
1527,12327
1527,7762
1527,5372954
1527,445154
1527,6544
1527,1549026
1527,5366074
1527,957
1527,12756
1527,5363388
1527,14296
1527,8094
1527,338
1527,460
1527,3776
1527,7361
1527,1183
1527,6440397
1527,12232
1527,11747
1527,1001
1527,18467
1527,12206
1527,9064
1527,73750
1527,8091
1527,8892
1527,68077
1527,638014
1527,1068
1527,7797
1527,8038
1527,1550470
1527,247
1527,8655
1527,7654
1527,16255
1527,999
1527,6561
1527,439246
1527,7800
1527,7341
1527,62465
1527,72276
1527,7658
1527,5281168
1527,637775
1527,7775
1527,65064
1527,107905
1527,7351
1527,8051
1527,5280343
1527,18827
1527,6054
1527,6202
1527,31289
1527,10883
1527,7720
1527,179
1527,19310
1527,5280443
1527,998
1527,5275520
1527,3893
1527,135
1527,379
1527,1130
1527,31260
1527,7342
1527,527
1527,31251
1527,6428929
1527,569214
1527,8908
1527,65084
1527,2969
1527,7362
1527,62900
1527,7302
1527,1031
1527,10393
1527,7344
1527,612
1527,7824
1527,180
1527,10882
1527,31276
1527,650
1527,61664
1527,332
1527,7749
1527,126
1527,5280445
1527,31242
1527,7710
1527,11732
1527,11508
1527,637758
1527,8768
1527,5281654
1527,442428
1527,12366
1527,14228
1527,6549
1527,8158
1527,643820
1527,11552
1527,5366264
672,7795
672,22873
672,20083
672,16617
672,12209
672,16220110
672,222656
672,7501
672,10448
672,6985
672,7799
672,6560
672,12613
672,985
672,62572
672,6590
672,11527
672,6584
672,13187
672,12041
672,753
672,12587
672,102550
672,7997
672,8093
672,8103
672,602
672,3314
672,8129
672,7590
672,10430
672,7945
672,8914
672,10976
672,17100
672,31265
672,5366038
672,61592
672,8294
672,8635
672,12327
672,7762
672,6544
672,1549026
672,5366074
672,957
672,12756
672,5363388
672,14296
672,8094
672,338
672,460
672,3776
672,7361
672,1183
