,Recipe Name,Prepare Time,Cook Time,Total Time,RecipeID,Servings
216,Lick Your Lips Cake Recipe ,NULL,NULL,NULL,7287,18
217,Dump Cake I Recipe ,10,40,50,7288,24
218,'Miss Beth''s Yoghurt Cake Recipe ',NULL,NULL,NULL,7290,18
219,Angelo Cake Recipe ,30,90,120,7291,12
220,Cherry Nut Cake I Recipe ,5,45,50,7292,24
221,Quick Fudge Icing Recipe ,NULL,NULL,NULL,7293,8
222,Chocolate Cherry Upside Down Cake Recipe ,NULL,NULL,NULL,7294,24
223,Chocolate Pound Cake I Recipe ,NULL,NULL,NULL,7295,14
224,Quick Black Forest Cake Recipe ,NULL,NULL,NULL,7296,18
225,Carrot Cake I Recipe ,NULL,NULL,NULL,7297,12
226,Pineapple Cake I Recipe ,NULL,NULL,NULL,7299,18
227,Botercake (Butter Cake) Recipe ,NULL,NULL,NULL,7300,15
228,Marron Layer Cake Recipe ,NULL,NULL,NULL,7301,24
229,Butter Pound Cake Recipe ,30,90,120,7303,14
230,Eclair Cake Recipe ,25,NULL,265,7304,14
231,Banana Cake I Recipe ,NULL,NULL,NULL,7305,12
232,Surprise Banana Cake Recipe ,30,30,60,7306,24
233,Mini Cheesecakes I Recipe ,30,15,45,7307,48
234,Apricot Sponge Cake Recipe ,NULL,NULL,NULL,7308,14
235,Praline Chocolate Cake Recipe ,NULL,NULL,NULL,7309,14
236,Burnt Sugar Cake I Recipe ,NULL,NULL,NULL,7310,36
237,'Mom''s Fruitcake Recipe ',30,120,240,7311,30
238,Chocolate Cake I Recipe ,NULL,NULL,NULL,7312,24
239,Brown Sugar Cake Recipe ,NULL,NULL,NULL,7313,12
240,Favorite Chocolate Cake Recipe ,20,40,60,7314,12
241,Orange Sponge Cake Recipe ,NULL,NULL,NULL,7315,12
242,Philadelphia Red Cake Recipe ,NULL,NULL,NULL,7316,10
243,Great Chocolate Cake Recipe ,NULL,NULL,NULL,7317,12
244,Double Chocolate Cake I Recipe ,NULL,NULL,NULL,7319,24
245,Coconut Pound Cake Recipe ,20,61,85,7320,14
246,Favorite Old Fashioned Gingerbread Recipe ,25,60,105,7322,9
247,Glorious Sponge Cake Recipe ,NULL,NULL,NULL,7323,14
248,Sour Cream Chocolate Cake Recipe ,NULL,NULL,NULL,7325,18
249,Cream Cheese Pound Cake I Recipe ,NULL,NULL,NULL,7326,14
250,Earthquake Cake I Recipe ,NULL,NULL,NULL,7327,24
251,Worm Cake Recipe ,NULL,NULL,NULL,7328,24
252,'Karen A''s Chocolate Dump Cake Recipe ',NULL,NULL,NULL,7329,24
253,Buttercream Cake Frosting Recipe ,NULL,NULL,NULL,7331,15
254,Green Cake Recipe ,10,30,40,7332,24
255,Strawberry Cake I Recipe ,NULL,NULL,NULL,7333,24
256,Ricotta Cheese Cake Recipe ,20,50,70,7334,24
257,Fruit Cocktail Cake I Recipe ,30,40,90,7335,12
258,Pistachio Cake I Recipe ,30,60,90,7336,14
259,Passover Brownie Cake Recipe ,NULL,NULL,NULL,7337,18
260,Pineapple Pudding Cake Recipe ,30,30,90,7338,12
261,Banana Nut Coconut Cake Recipe ,25,50,165,7340,12
262,Cinnamon Teacake Recipe ,NULL,NULL,NULL,7341,8
263,Easy Raisin Cake Recipe ,NULL,NULL,NULL,7342,24
264,Banana Nut Frosting Recipe ,20,NULL,20,7344,12
265,Gingerbread I Recipe ,NULL,NULL,NULL,7345,12
266,Coconut Cake I Recipe ,30,30,4380,7346,12
267,Fresh Pineapple Upside Down Cake Recipe ,30,30,70,7347,12
268,Creamy White Layers Recipe ,NULL,NULL,NULL,7348,24
269,'Devil''s Food Cake I Recipe ',NULL,NULL,NULL,7349,24
270,Chocolate Fudge Buttercream Frosting Recipe ,NULL,NULL,NULL,7350,16
271,'Auntie''s Buttermilk Cake Recipe ',NULL,NULL,NULL,7351,14
272,Our Favorite Chocolate Cake Recipe ,NULL,NULL,NULL,7352,14
273,Norwegian Hazelnut Cake Recipe ,NULL,NULL,NULL,7354,16
274,Cranberry Swirl Coffeecake Recipe ,NULL,NULL,NULL,7355,14
275,Fabulous Oatmeal,NULL,NULL,NULL,7359,24
276,Cream Cheese Frosting I Recipe ,NULL,NULL,NULL,7361,8
277,Chocolate Spice Cake Recipe ,NULL,NULL,NULL,7362,10
278,Old,30,30,60,7363,12
279,Easy Rum Cake Recipe ,NULL,NULL,NULL,7364,12
280,'Aunt Maria''s Pudding Cake Recipe ',NULL,NULL,NULL,7366,12
281,Lemonade Cake I Recipe ,30,30,300,7367,12
282,Lemon Pound Cake I Recipe ,NULL,NULL,NULL,7368,12
283,Rum Cake I Recipe ,NULL,NULL,NULL,7369,12
284,Crumb Cake I Recipe ,20,50,70,7370,24
285,Lemonade Frosting Recipe ,NULL,NULL,NULL,7371,16
286,'Grandma''s Fudge Cake Recipe ',NULL,NULL,NULL,7372,12
287,'Donna''s Sherry Wine Cake Recipe ',NULL,NULL,NULL,7373,12
288,Fudge Cake Recipe ,NULL,NULL,NULL,7374,18
289,Black Russian Cake I Recipe ,20,40,60,7375,12
290,Pound Cake I Recipe ,30,60,90,7376,12
291,Prune Mocha Cake Recipe ,NULL,NULL,NULL,7377,12
292,Sunshine Cake Recipe ,NULL,NULL,NULL,7378,14
293,Treasure Chest Cake Recipe ,NULL,NULL,NULL,7379,12
294,Maraschino Cherry Pound Cake Recipe ,NULL,NULL,NULL,7381,14
295,Ice Box Cake I Recipe ,20,10,510,7382,18
296,'Holly''s Black Forest Cake Recipe ',NULL,NULL,NULL,7383,12
297,Chocolate Cappuccino Cheesecake Recipe ,30,60,240,7384,12
298,Pineapple Sponge Cake Recipe ,NULL,NULL,NULL,7387,14
299,Egg,NULL,NULL,NULL,7388,14
300,Chocolate Chip Cake Recipe ,NULL,NULL,NULL,7389,12
301,Butterscotch Filling Recipe ,10,20,30,7390,12
302,Crazy Chocolate Cake Recipe ,NULL,NULL,NULL,7394,18
303,Carrot Cake III Recipe ,30,60,120,7402,18
304,Pumpkin Sheet Cake Recipe ,30,30,120,7404,20
305,'Tres Leches ''Three Milks'' Recipe ',NULL,NULL,NULL,7405,10
306,Cinnamon Coffee Cake I Recipe ,NULL,NULL,NULL,7407,14
307,Marble Crumb Cake Recipe ,NULL,NULL,NULL,7408,24
308,Strawberry Torte Recipe ,NULL,NULL,NULL,7409,12
309,Wedding Cake Frosting Recipe ,NULL,NULL,NULL,7410,20
310,Peach Cake I Recipe ,20,50,70,7411,10
311,Pineapple Upside,NULL,NULL,NULL,7412,24
312,Turtles® Cake I Recipe ,NULL,NULL,NULL,7413,24
313,Kitty Litter Cake Recipe ,NULL,NULL,NULL,7415,20
314,Chocolate Mayo Cake Recipe ,NULL,NULL,NULL,7416,24
315,Dump Cake II Recipe ,NULL,NULL,NULL,7417,24
316,Turtles® Cake II Recipe ,NULL,NULL,NULL,7418,24
317,Sugar Free Cake Recipe ,NULL,NULL,NULL,7419,12
318,Dump Cake III Recipe ,NULL,NULL,NULL,7420,24
319,Better Than Sex Cake I Recipe ,NULL,NULL,NULL,7421,24
320,Mayonnaise Cake  I Recipe ,NULL,NULL,NULL,7423,24
321,Lemon Poppy Seed Loaf Recipe ,NULL,NULL,NULL,7424,24
322,Red Velvet Cake I Recipe ,15,35,55,7425,12
323,Pina Colada Cake I Recipe ,NULL,NULL,NULL,7426,14
324,Pina Colada Cake II Recipe ,NULL,NULL,NULL,7427,18
325,Caramel Pound Cake Recipe ,30,90,120,7429,14
326,'Donna''s Famous Cheesecake Recipe ',NULL,NULL,NULL,7435,24
327,Dried Cherry Cake Recipe ,NULL,NULL,NULL,7436,12
328,Chocolate Peanut Butter Wacky Cake Recipe ,NULL,NULL,NULL,7438,18
329,Swiss Chocolate Cake Recipe ,NULL,NULL,NULL,7439,12
330,Key Lime Cheesecake I Recipe ,NULL,NULL,NULL,7441,12
331,Mayonnaise Cake  II Recipe ,NULL,NULL,NULL,7442,12
332,'Rick''s Special Buttercream Frosting Recipe ',30,NULL,30,7443,12
333,Sour Cream Coffee Cake I Recipe ,NULL,NULL,NULL,7445,12
334,Peach Upside Down Cake II Recipe ,NULL,NULL,NULL,7447,10
335,Chocolate Sauerkraut Cake I Recipe ,NULL,NULL,NULL,7448,12
336,Fluffy Creamy Frosting Recipe ,NULL,NULL,NULL,7449,12
337,Texas Tornado Cake Recipe ,NULL,NULL,NULL,7450,18
338,Caramel Nougat Cake Recipe ,30,60,90,7451,12
339,Caramel Nougat Cake II Recipe ,NULL,NULL,NULL,7452,20
340,Chocolate Caramel Nut Cake Recipe ,NULL,NULL,NULL,7453,24
341,Caramel Nougat Cake III Recipe ,NULL,NULL,NULL,7454,12
342,Chocolate Caramel Nut Cake II Recipe ,NULL,NULL,NULL,7455,24
343,'Peter''s Cheesecake Recipe ',NULL,NULL,NULL,7456,12
344,Sauerkraut Cake Recipe ,NULL,NULL,NULL,7457,24
345,Gooey Butter Cake I Recipe ,15,45,60,7459,24
346,'Mary Oppenhiemer''s Butter Cake Recipe ',NULL,NULL,NULL,7461,12
347,Flourless Chocolate Roll Recipe ,NULL,NULL,NULL,7462,8
348,Dump Cake IV Recipe ,NULL,NULL,NULL,7465,12
349,Deep Chocolate Raspberry Cake Recipe ,40,45,145,7466,12
350,Lady Baltimore Cake Recipe ,30,60,90,7471,12
351,Orange Chiffon Cake Recipe ,NULL,NULL,NULL,7473,14
352,Crazy Cake Recipe ,NULL,NULL,NULL,7475,18
353,'Grandma''s Chocolate Marvel Cake Recipe ',30,60,90,7476,24
354,Party Frosting Recipe ,NULL,NULL,NULL,7477,16
355,Cinnamon Swirl Bundt Coffee Cake Recipe ,30,50,80,7478,12
356,Kentucky Butter Cake Recipe ,30,60,120,7479,12
357,Chocolate Rum Cake Recipe ,25,60,85,7480,12
358,Tunnel of Fudge Cake III Recipe ,NULL,NULL,NULL,7484,12
359,Decorator Frosting I Recipe ,NULL,NULL,NULL,7486,12
360,Honey Cake I Recipe ,NULL,NULL,NULL,7487,24
361,White Cake Frosting I Recipe ,NULL,NULL,NULL,7488,15
362,Harvey Wallbanger Cake Recipe ,NULL,NULL,NULL,7489,12
363,Gooey Butter Cake II Recipe ,NULL,NULL,NULL,7492,24
364,Buttermilk Pound Cake I Recipe ,NULL,NULL,NULL,7493,14
365,Zucchini Cake I Recipe ,25,25,140,7494,12
366,Peanut Butter Cake II Recipe ,30,30,60,7495,12
367,Peanut Butter Frosting Recipe ,15,NULL,15,7496,16
368,Sachertorte Recipe ,NULL,NULL,NULL,7497,12
369,Chocolate Chip Date Nut Cake Recipe ,30,45,90,7498,24
370,Zucchini Cake II Recipe ,30,45,75,7499,24
371,Spanish Bar Cake Recipe ,NULL,NULL,NULL,7500,24
372,Coco,NULL,NULL,NULL,7501,14
373,Coco,NULL,NULL,NULL,7502,18
374,Sock it to Me Cake I Recipe ,NULL,NULL,NULL,7503,12
375,Sock it to Me Cake II Recipe ,NULL,NULL,NULL,7504,18
376,Caramel Frosting I Recipe ,10,5,15,7506,12
377,Jamaica Cake Recipe ,NULL,NULL,NULL,7509,14
378,Butter Brickle Cake Recipe ,NULL,NULL,NULL,7511,14
379,Graham Cracker Cake II Recipe ,30,30,60,7512,12
380,Pistachio Nut Cake I Recipe ,NULL,NULL,NULL,7513,12
381,Best Chocolate Cake Recipe ,NULL,NULL,NULL,7516,18
382,Cherry Nut Cake II Recipe ,NULL,NULL,NULL,7517,14
383,Carrot and Walnut Cake Recipe ,NULL,NULL,NULL,7518,14
384,Daffodil Cake Recipe ,15,50,65,7519,12
385,Poppy Seed Cake I Recipe ,NULL,NULL,NULL,7520,20
386,Almond Custard Filling Recipe ,NULL,NULL,NULL,7521,12
387,Rum Cake II Recipe ,NULL,NULL,NULL,7522,14
388,Seven,NULL,NULL,NULL,7524,12
389,Mocha Cake II Recipe ,NULL,NULL,NULL,7526,12
390,Easy Dump Cake Recipe ,25,55,80,7527,12
391,Blueberry Dump Cake Recipe ,NULL,NULL,NULL,7528,18
392,Mississippi Mud Cake I Recipe ,NULL,NULL,NULL,7530,24
393,Mississippi Mud Cake II Recipe ,NULL,NULL,NULL,7531,24
394,New York Cheesecake I Recipe ,30,40,90,7532,12
395,New York Cheesecake II Recipe ,30,50,240,7533,16
396,Orange Cream Cake I Recipe ,30,60,270,7534,18
397,Chocolate Chip,NULL,NULL,NULL,7535,12
398,'Kelly''s Apple Cocoa Cake Recipe ',NULL,NULL,NULL,7536,12
399,Butternut Spice Cake Recipe ,NULL,NULL,NULL,7537,14
400,Heavenly Cake Recipe ,NULL,NULL,NULL,7539,24
401,Mini Cinnamon Cakes Recipe ,NULL,NULL,NULL,7541,6
402,Special Buttercream Frosting Recipe ,30,NULL,30,7542,36
403,Apple Chiffon Cake Recipe ,NULL,NULL,NULL,7543,14
404,Barbadian Plain Cake Recipe ,NULL,NULL,NULL,7544,12
405,Orange Nut Raisin Cake Recipe ,NULL,NULL,NULL,7545,12
406,Honey Bun Cake I Recipe ,30,60,105,7547,24
407,Dr Pepper® Cake Recipe ,NULL,NULL,NULL,7548,24
408,Amaretto Cheesecake I Recipe ,30,60,90,7549,12
409,Pineapple Cake II Recipe ,20,30,90,7550,24
410,Buttery Milk Syrup Recipe ,NULL,NULL,NULL,7551,12
411,Paris,120,37,157,7552,15
412,Banana Butter Icing Recipe ,NULL,NULL,NULL,7554,11
